Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
NISSAN Rogue Sport,2,4,SCV-8,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,NNSXV02.0AMA,station wagon,6,24,30,27,6,No,330
NISSAN Sentra,2,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NNSXV02.0RMB,midsize car,7,29,39,33,7,Yes,269
NISSAN Sentra,2,4,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NNSXV02.0RMB,midsize car,7,29,39,33,7,Yes,269
NISSAN Sentra SR,2,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NNSXV02.0RMB,midsize car,7,28,37,32,7,Yes,283
NISSAN Sentra SR,2,4,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NNSXV02.0RMB,midsize car,7,28,37,32,7,Yes,283
NISSAN Titan,5.6,8,SemiAuto-9,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,NNSXT05.6P9A,pickup,5,16,21,18,3,No,503
NISSAN Titan,5.6,8,SemiAuto-9,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NNSXT05.6P9A,pickup,5,16,21,18,3,No,503
NISSAN Titan,5.6,8,SemiAuto-9,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,NNSXT05.6P9A,pickup,5,15,21,18,3,No,505
NISSAN Titan,5.6,8,SemiAuto-9,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NNSXT05.6P9A,pickup,5,15,21,18,3,No,505
NISSAN Titan Pro-4X,5.6,8,SemiAuto-9,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,NNSXT05.6P9A,pickup,5,15,20,17,3,No,517
NISSAN Titan Pro-4X,5.6,8,SemiAuto-9,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NNSXT05.6P9A,pickup,5,15,20,17,3,No,517
NISSAN Versa,1.6,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NNSXV01.6RNA,small car,7,32,40,35,7,Yes,254
NISSAN Versa,1.6,4,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NNSXV01.6RNA,small car,7,32,40,35,7,Yes,254
NISSAN Versa,1.6,4,Man-5,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NNSXV01.6RNA,small car,7,27,35,30,6,No,296
NISSAN Versa,1.6,4,Man-5,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NNSXV01.6RNA,small car,7,27,35,30,6,No,296
