region,category,parameter,mode,powertrain,year,unit,value
Mexico,Historical,EV sales,Cars,BEV,2019,sales,270
Mexico,Historical,EV sales,Cars,PHEV,2019,sales,450
Mexico,Historical,EV sales,Cars,PHEV,2020,sales,610
Mexico,Historical,EV sales,Cars,BEV,2020,sales,1900
Mexico,Historical,EV sales,Cars,BEV,2021,sales,3300
Mexico,Historical,EV sales,Cars,PHEV,2021,sales,1000
Netherlands,Historical,EV sales,Cars,BEV,2010,sales,120
Netherlands,Historical,EV sales,Cars,BEV,2011,sales,860
Netherlands,Historical,EV sales,Cars,PHEV,2011,sales,17
Netherlands,Historical,EV sales,Cars,PHEV,2012,sales,4300
Netherlands,Historical,EV sales,Cars,BEV,2012,sales,790
Netherlands,Historical,EV sales,Cars,BEV,2013,sales,2300
Netherlands,Historical,EV sales,Cars,PHEV,2013,sales,20000
Netherlands,Historical,EV sales,Cars,PHEV,2014,sales,12000
Netherlands,Historical,EV sales,Cars,BEV,2014,sales,2700
Netherlands,Historical,EV sales,Cars,BEV,2015,sales,2500
Netherlands,Historical,EV sales,Cars,PHEV,2015,sales,41000
Netherlands,Historical,EV sales,Cars,PHEV,2016,sales,19000
Netherlands,Historical,EV sales,Cars,BEV,2016,sales,4100
Netherlands,Historical,EV sales,Cars,BEV,2017,sales,9200
Netherlands,Historical,EV sales,Cars,PHEV,2017,sales,1100
Netherlands,Historical,EV sales,Cars,PHEV,2018,sales,3500
Netherlands,Historical,EV sales,Cars,BEV,2018,sales,24000
Netherlands,Historical,EV sales,Cars,BEV,2019,sales,62000
Netherlands,Historical,EV sales,Cars,PHEV,2019,sales,5500
Netherlands,Historical,EV sales,Cars,PHEV,2020,sales,16000
Netherlands,Historical,EV sales,Cars,BEV,2020,sales,72000
Netherlands,Historical,EV sales,Cars,BEV,2021,sales,63000
Netherlands,Historical,EV sales,Cars,PHEV,2021,sales,31000
New Zealand,Historical,EV sales,Cars,BEV,2010,sales,10
New Zealand,Historical,EV sales,Cars,BEV,2011,sales,13
New Zealand,Historical,EV sales,Cars,PHEV,2011,sales,2
New Zealand,Historical,EV sales,Cars,PHEV,2012,sales,5
New Zealand,Historical,EV sales,Cars,BEV,2012,sales,22
New Zealand,Historical,EV sales,Cars,BEV,2013,sales,30
New Zealand,Historical,EV sales,Cars,PHEV,2013,sales,6
New Zealand,Historical,EV sales,Cars,PHEV,2014,sales,210
New Zealand,Historical,EV sales,Cars,BEV,2014,sales,110
New Zealand,Historical,EV sales,Cars,BEV,2015,sales,300
New Zealand,Historical,EV sales,Cars,PHEV,2015,sales,200
New Zealand,Historical,EV sales,Cars,PHEV,2016,sales,340
New Zealand,Historical,EV sales,Cars,BEV,2016,sales,1200
New Zealand,Historical,EV sales,Cars,BEV,2017,sales,2900
New Zealand,Historical,EV sales,Cars,PHEV,2017,sales,540
New Zealand,Historical,EV sales,Cars,PHEV,2018,sales,1200
New Zealand,Historical,EV sales,Cars,BEV,2018,sales,4400
New Zealand,Historical,EV sales,Cars,BEV,2019,sales,5300
New Zealand,Historical,EV sales,Cars,PHEV,2019,sales,1600
New Zealand,Historical,EV sales,Cars,PHEV,2020,sales,1500
New Zealand,Historical,EV sales,Cars,BEV,2020,sales,3900
New Zealand,Historical,EV sales,Cars,BEV,2021,sales,6800
New Zealand,Historical,EV sales,Cars,PHEV,2021,sales,3500
Norway,Historical,EV sales,Cars,BEV,2010,sales,360
Norway,Historical,EV sales,Cars,BEV,2011,sales,2000
Norway,Historical,EV sales,Cars,BEV,2012,sales,3900
Norway,Historical,EV sales,Cars,PHEV,2012,sales,320
